,storeid,state,type,type_dummy,associates_poh_pre,associates_poh_post,open_time_pre,population_post_dummy,competition_dummy,hours_open_post_dummy,associates_poh_post_dummy,open_time_post,close_time_pre,close_time_post,hours_open_pre,hours_open_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post,24_12,24_13,24_14,26_12,26_13,26_14,28_12,28_13,28_14
11,12,IA,Standalone,1,24,26,7,18,1,13,26,7,21,20,14,13,18,1,13969,14966,10891,16548,11071,15894,15081,12006,15144,15804,14142,11755,13448,12308,15354,13020,15726,15622,12331,13539,13940,13829,12707,14254,15097,16498,12694,13577,12395,13504,15704,14095,15231,16437,13061,13302,14963,16707,17667,12961,17249,14675,15391,13849,18332,17290,23243,13889,17116,19438,24412,15230,16308,16082,11538,14284,13220,19165,15475,15363,14819,15668,18205,13647,17687,12843,13161,14087,13534,15611,12568,17129,15930,13249,15992,16732,13053,16729,13173,13000,16838,14989,14635,17010,13788,18412,15113,17182,14737,15019,16443,14427,13030,17538,17485,18841,14981,19077,17639,18754,16966,22917,27887,17070,13364,13033,12350,17370,13803,18625,15919,13334,17678,14432,13430,18049,16369,19144,13255,17650,16124,15058.723080000002,15919.60714,17052.42500970376,17426.129796303758,17799.834582903764,17213.441086027764,17587.145872627763,17960.850659227763,17374.457162351762,17748.16194895176,18121.86673555176
12,13,MD,Standalone,1,24,26,7,9,1,13,26,7,21,20,14,13,9,1,13441,14106,12311,15138,17146,20769,13369,17099,12541,16651,15600,18045,14620,16887,18007,17249,15711,14047,13204,17772,13825,16653,16225,12580,13131,19787,13471,15632,17002,14914,14680,17736,14065,14708,14387,18049,17722,13746,13809,15090,13953,16573,15888,17684,17284,22328,25248,16528,22325,21475,22319,18986,15237,13197,17230,18599,13740,18822,13631,14547,17993,19909,17337,21022,18133,19656,19149,18034,13735,18061,16549,17012,16917,17653,19840,18679,16564,20893,17250,19503,18331,19128,14926,19626,20510,15563,18838,16855,17760,17787,18708,15153,14610,21640,16057,20524,17213,18603,23055,15710,17191,24554,22225,20264,14454,19396,19381,18774,18768,25575,14595,19147,21800,21062,20617,22208,14968,20383,18989,21362,21774,16475.584619999998,18706.76786,20139.83177431349,20513.53656091349,20887.241347513496,20300.847850637496,20674.552637237495,21048.257423837495,20461.863926961494,20835.568713561493,21209.273500161493
13,14,OH,Standalone,1,24,24,7,418,96,14,24,7,21,21,14,14,418,96,15856,18518,15366,19499,16171,19904,15959,19310,15854,17357,20646,21895,14519,15280,16084,19140,15482,16487,17350,15374,18081,16808,15202,13724,18095,20430,20017,16220,15573,17568,16919,14449,19982,16908,21224,16750,17741,20528,16817,19546,18499,20268,18606,18963,22020,22267,27496,16827,19622,24899,25045,21690,20345,18784,19533,16125,20715,24830,22410,16212,22554,15709,22157,24126,22006,16662,15850,20890,20798,23623,20978,22075,19583,18590,22962,21271,16913,17642,16645,18160,15865,20541,20992,15972,19169,20188,24190,22213,17353,20994,17740,20150,21421,20198,24755,21215,23852,19512,23431,24991,23350,33844,31908,28624,16829,16637,18102,20699,20121,25315,18300,20726,20637,19199,20429,19465,20560,16818,17179,22028,16949,18774.476919999997,20626.83929,22260.32847976112,22634.03326636112,23007.73805296112,22421.344556085118,22795.049342685117,23168.754129285117,22582.360632409116,22956.065419009115,23329.770205609115
14,15,LA,Standalone,1,24,24,7,484,74,14,24,7,21,21,14,14,484,74,10974,13237,9352,13288,9741,16458,11920,10127,12760,11866,12862,11596,13723,11897,9928,14192,10104,10786,12501,12581,12030,9866,14835,10345,12775,12709,11451,9418,10177,10222,11040,11575,10834,14063,13243,12930,10698,11407,11010,11549,13488,14154,13368,14336,13677,11558,16320,11542,11896,20387,16329,15705,10034,14614,12120,12408,14374,17258,12205,11200,12555,11172,13066,12790,10798,12747,14172,13981,14499,12096,13807,14842,13829,13056,11216,14097,11923,15464,14017,15099,11122,11863,15772,16031,15697,14177,12295,11042,14511,13908,14161,11759,14173,15307,16242,13761,14194,15668,19356,16829,18371,23367,18850,17095,13157,15776,14069,12412,12696,20480,11341,15632,12069,11927,14319,17987,14169,17057,16849,13446,13945,12452.67692,14602.26786,15588.247226545993,15961.952013145992,16335.656799745992,15749.263302869991,16122.968089469994,16496.67287606999,15910.279379193993,16283.984165793992,16657.68895239399
15,16,WA,Standalone,1,24,24,7,33,4,12,24,7,21,19,14,12,33,4,14349,13631,9990,16082,15055,17327,14528,14284,11809,15786,13882,15343,12855,15573,11516,13233,13527,14701,12497,15229,15701,14034,12975,14114,11799,16022,14265,15479,13187,15576,14318,15720,13280,17244,15022,15940,16547,16852,13835,12653,13843,16854,13047,16245,15449,14945,16510,16705,13354,22913,26702,17208,15883,15555,12655,13796,11982,19159,13925,12017,14214,15103,14468,15459,15568,12952,13207,15772,15041,15710,12388,15159,16332,15764,17227,14474,14555,13149,11500,16525,12826,15792,12930,13712,15719,14788,16571,12541,12527,16399,15835,17599,18159,15530,15774,15505,15878,17822,22502,16253,15545,18726,24130,16277,12380,13616,14328,16732,16580,19240,15344,12352,16028,12598,16625,14130,17342,12245,15314,17179,17815,14912.6,15516.83929,16606.066572769516,16979.771359369515,17353.476145969515,16767.082649093514,17140.787435693514,17514.492222293513,16928.098725417512,17301.803512017512,17675.50829861751
16,17,ND,Standalone,1,24,24,7,38,4,14,24,7,21,21,14,14,38,4,11067,12415,13736,13961,15506,19432,15700,14528,13186,12784,12656,16374,16642,16099,15545,17450,13926,16924,13771,12439,16685,12920,16954,14170,11840,18752,13747,13763,13065,15639,17887,12756,18151,16049,13949,17018,15359,17382,17874,14686,15657,13516,15775,18791,18074,20307,22493,15200,21161,21323,26067,16432,13943,16313,16300,14232,17935,17262,14233,17383,14109,17958,17204,15593,16150,16730,18503,14323,18104,20248,16188,15464,17273,17319,14805,12339,13870,20100,17844,13123,16703,19225,14384,15591,14650,20348,19645,15822,16642,19648,14927,19860,17249,17046,19234,18130,19861,16185,27396,18091,22527,26416,29885,19092,17737,19601,14996,15902,19560,17386,20326,20213,19968,14752,15686,20343,17405,16014,16566,20581,20383,15941.50769,18075.16071,19439.98239307929,19813.68717967929,20187.39196627929,19600.99846940329,19974.70325600329,20348.40804260329,19762.01454572729,20135.719332327288,20509.424118927287
17,18,KS,Strip Mall,0,24,28,7,0,0,0,0,7,21,19,14,12,376,28,10897,10915,11879,9875,9382,16647,13434,11002,13561,10535,11067,13151,10841,12330,12068,12940,12555,12702,11518,13413,13719,12198,14716,11096,10944,11280,11053,13952,12343,9712,10244,14620,11642,11184,14507,12087,14492,11240,14277,14859,12058,13170,10644,15506,11225,15440,16095,15021,15609,20651,18975,18445,11823,12773,9491,13537,10878,17729,14221,10855,11072,11366,11464,13645,15447,10487,10570,10325,10766,16046,10973,11471,12079,11603,13256,13995,10890,13683,10948,14762,12465,13143,13753,11810,12580,14909,15168,10506,15475,11198,13652,11388,14004,11695,13562,11244,13888,13108,20113,12954,14870,22010,24273,13519,13674,15442,14772,14437,14989,14537,14200,15848,13259,12602,16896,17359,14195,16459,13421,11542,15352,12892.56923,13787.946430000002,14634.710353305576,15008.415139905575,15382.119926505575,14795.726429629574,15169.431216229574,15543.136002829577,14956.742505953573,15330.447292553576,15704.152079153575
18,19,VA,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,46,2,10480,13995,11594,17028,13159,19577,14615,11580,12758,11457,13004,13823,13683,14664,12554,17136,15620,14925,15454,13153,15449,12406,17898,13027,13519,14739,11739,11652,13957,15924,15622,13510,12576,12634,14661,13572,16178,14507,17816,17374,13444,16024,14714,16060,16157,15039,18500,13522,20030,22592,26722,17809,12936,14271,15081,15702,13768,19969,12477,18649,13139,17398,15961,13741,15554,14559,15925,18848,16744,19488,18301,17992,17546,17751,14642,13397,15235,17993,15041,17424,14919,12857,16631,16520,17124,17590,17604,17429,17182,18536,19506,19331,15918,16602,15043,16841,15072,21788,25608,16753,16417,23551,22634,19994,12935,15963,14759,14798,15493,19051,14550,13967,14449,15408,15779,21935,13773,18454,17532,16501,16452,15050.430769999999,17038.125,18287.467456142753,18661.172242742752,19034.87702934275,18448.48353246675,18822.188319066758,19195.893105666757,18609.499608790757,18983.204395390756,19356.909181990755
19,20,MN,Standalone,1,24,24,7,17,65,14,24,7,21,21,14,14,17,65,12609,12295,9862,13531,10416,14080,10425,9668,9876,12116,12280,11970,11671,13591,10422,12301,10750,15487,11916,9782,11627,9691,10468,11897,11553,13795,9707,9870,9614,11569,14732,10923,10408,14975,11434,13152,11222,13422,13417,13707,12092,10627,11625,10819,13035,15149,18247,15571,13071,19461,21935,17182,12493,11046,12196,14955,12313,12653,12938,15497,14498,11324,15163,15221,14333,10798,11932,12896,13237,13839,10312,12735,11667,10883,11520,13865,14319,15723,10921,14153,12106,15521,15579,15866,13520,12069,13290,10955,12877,16300,16662,13877,15250,11602,14524,12210,15158,18243,17915,14805,16929,17776,19395,18408,12445,16126,13138,16973,15051,18442,16172,16663,14246,17028,14037,15805,13584,16730,11674,14520,15596,12702.692309999999,14426.196430000002,15393.816181816974,15767.520968416977,16141.225755016976,15554.832258140976,15928.537044740975,16302.241831340978,15715.848334464974,16089.553121064977,16463.257907664978
20,21,AZ,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,416,96,7058,10488,7317,7686,8053,10420,9180,9267,11059,9750,9907,11283,9976,10863,9078,7969,10741,10982,10000,8269,8757,9678,11442,7556,10414,8602,9741,8139,8823,10141,11432,11443,7810,9722,11074,11048,8414,9647,10426,8550,8985,10144,11384,9713,10049,12144,12380,11135,13723,15817,15316,10193,9656,11291,9150,11529,11306,12049,10033,9429,12048,9246,9874,12325,8625,10399,10156,9073,9765,9306,9732,10176,10699,11504,12717,10308,10395,11643,9655,8202,8340,8962,9843,11085,11136,9061,11075,12363,9695,9184,9488,9743,13348,11967,9949,10161,9608,10601,12578,13578,13991,18107,15546,16030,9365,9090,11925,9911,10372,14095,12775,9660,12144,8994,9337,10840,9677,9551,13268,10597,10425,10149.984620000001,10914.19643,11314.199040243073,11687.903826843072,12061.608613443072,11475.215116567071,11848.919903167074,12222.624689767074,11636.231192891073,12009.935979491072,12383.640766091072
21,22,AZ,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,5,1,13842,11627,15517,18269,13269,16201,13525,13704,16946,16274,18159,13443,14165,16716,16476,15744,13735,20118,13798,15513,16575,15934,18998,16960,15893,13724,13420,13977,14653,17427,15275,14871,18457,14264,14497,17373,16210,17802,16945,17962,17802,14510,13832,18356,16057,14910,24053,17459,17919,19057,26012,17675,15324,13246,12135,17314,16376,16724,18684,18727,18839,19285,13873,16968,16491,15083,18891,14824,16323,21036,14789,13891,18426,13620,17882,15797,18505,20184,18004,15531,18115,18967,18279,19968,16990,16592,18766,15710,15465,18013,20297,18693,17253,19285,17106,14637,18305,19085,22333,15221,20639,30077,31126,24405,18548,14916,19661,18053,14380,21048,20618,18058,18571,20605,17114,19812,21640,16009,20905,16909,16331,16305.93846,18415.91071,19815.692177271987,20189.396963871986,20563.101750471986,19976.708253595985,20350.413040195992,20724.11782679599,20137.72432991999,20511.42911651999,20885.13390311999
22,23,VA,Standalone,1,24,24,7,28,38,14,24,7,21,21,14,14,28,38,8606,8959,11034,10245,9884,10760,9623,11005,10288,9481,9535,9445,10955,11709,9094,10076,9925,14014,9518,10582,8276,8330,11633,10687,11790,9970,9159,11713,9368,9702,12652,9375,12087,9539,11276,8895,10768,12950,13482,10106,11706,9784,10638,9240,10750,10634,17128,10294,12913,19085,19704,12866,12393,10788,9760,10947,9859,15034,9714,9816,12565,12278,11667,12476,10712,12312,13786,10238,11293,12963,11502,13060,10557,13132,10580,9906,9608,12301,10826,10345,11996,9948,13014,12969,10671,13170,12692,12070,10974,13758,13682,11753,12106,10221,12341,10689,10853,16060,17681,13023,12944,20774,18222,18325,13217,13687,12393,14195,14092,17513,10581,11854,14624,12801,13595,11225,12746,13303,11727,12205,13532,11065.338459999999,12779.19643,13571.216485788473,13944.921272388472,14318.626058988471,13732.232562112471,14105.937348712474,14479.642135312473,13893.248638436473,14266.953425036472,14640.658211636472
23,24,IL,Standalone,1,24,24,7,17,51,12,24,7,21,19,14,12,17,51,7967,8994,10033,12356,9382,13888,11207,10663,13035,10496,12478,11915,9182,11242,12613,13200,10314,13872,11221,10381,11864,10440,12258,11019,9299,12564,8961,12453,11323,9810,10405,9317,12396,12008,10089,11255,13704,9829,10076,12043,12466,11640,13554,12431,13833,15958,14653,12653,15322,16383,16955,15336,9014,9804,9918,10937,13281,17366,9798,9797,10130,12744,10935,12745,12728,9823,13317,12502,12306,14851,9065,10015,12460,11832,13889,12446,13118,13833,10949,9719,12011,10619,13805,12150,9689,10543,14269,10943,12523,13279,13687,13648,12525,15076,12993,13478,11037,15708,16196,14162,15289,15951,16325,16833,10658,10966,10691,13237,12108,13410,10813,13810,14794,12739,15028,13580,12030,12770,12158,13633,13373,11783.58462,12833.25,13630.215277161204,14003.920063761203,14377.624850361202,13791.231353485202,14164.936140085205,14538.640926685204,13952.247429809204,14325.952216409203,14699.657003009203
