storeid,state,type,associates_poh_pre,open_time_pre,open_time_post,close_time_pre,close_time_post,hours_open_pre,associates_poh_post,hours_open_post,Predicted avg_post,avg_pre,avg_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,change,Desirability
11,TX,Standalone,24,7,7,21,19,14,24,12,309000.71804,259495.3846,305007.5,321,11,206240,253280,198180,275160,226340,241400,206640,257920,282700,246560,222520,221220,222620,232680,232780,202000,271780,295000,215200,258200,201820,274200,251420,219460,240500,237620,246820,183080,236840,256840,264000,300840,194560,224020,279860,246760,212700,237840,318060,264660,220340,321680,321820,309740,262700,262600,316060,270560,323500,384840,347660,352760,275040,221480,199520,275080,227780,357420,320740,306680,273240,312640,232780,275700,234520,237360,249760,231520,202720,273240,202080,299620,237500,193860,317480,205960,264460,259680,244900,308520,278200,304740,284480,285880,321080,314140,336540,211840,228020,287660,306300,254840,276660,309360,295840,375060,272740,421940,488840,289600,340100,478900,432660,372180,319980,343380,244280,299580,355060,421780,358360,341740,371720,334180,368460,299020,298020,290400,290640,318740,328820,10060,0.575860207
12,IA,Standalone,24,7,7,21,20,14,26,13,310670.23491,254442.4615,296015.8929,18,1,231360,251300,169800,282940,173400,269860,253600,192100,254860,268060,234820,187080,220940,199750,260670,213990,268110,266030,200210,224370,232390,230170,207730,238670,255530,283550,207470,225130,201490,223670,267670,235490,258210,282330,214810,219630,252850,287730,306930,212810,298570,247090,261410,230570,320230,299390,418450,231370,295910,342350,441830,258190,279750,275230,184350,239270,217990,336890,263090,260850,249970,266950,317690,226530,307330,210450,216810,235330,224270,265810,204950,296170,272190,218570,273430,288230,214650,288170,217050,213590,290350,253370,246290,293790,229350,321830,255850,297230,248330,253970,282450,242130,260600,350760,349700,376820,299620,381540,352780,375080,339320,458340,557740,341400,267280,260660,247000,347400,276060,372500,318380,266680,353560,288640,268600,360980,327380,382880,265100,353000,322480,-21190,0.499429199
13,MD,Standalone,24,7,7,21,20,14,26,13,341817.31706,282779.6923,351759.1071,9,1,220800,234100,198200,254740,294900,367360,219360,293960,202800,285000,263980,312880,244380,291330,313730,298570,267810,234530,217670,309030,230090,286650,278090,205190,216210,349330,223010,266230,293630,251870,247190,308310,234890,247750,241330,314570,308030,228510,229770,255390,232650,285050,271350,307270,299270,400150,458550,284150,400090,383090,399970,333310,258330,217530,298190,325570,228390,330030,226210,244530,313450,351770,300330,374030,316250,346710,336570,314270,228290,314810,284570,293830,291930,306650,350390,327170,284870,371450,298590,343650,320210,336150,252110,346110,363790,264850,330350,290690,308790,309330,327750,256650,292200,432800,321140,410480,344260,372060,461100,314200,343820,491080,444500,405280,289080,387920,387620,375480,375360,511500,291900,382940,436000,421240,412340,444160,299360,407660,379780,427240,435480,46950,0.716661918
14,OH,Standalone,24,7,7,21,21,14,24,14,391683.37685,327469.5385,389384.2857,418,96,269100,322340,259300,341960,275400,350060,271160,338180,269060,299120,364900,389880,242360,257580,273660,334780,261620,281720,298980,259460,313600,288140,256020,226460,313880,360580,352320,276380,263440,303340,290360,240960,351620,290140,376460,286980,306800,362540,288320,342900,321960,357340,324100,331240,392380,397320,501900,288520,344420,449960,452880,385780,358880,327660,342640,274480,366280,448580,400180,276220,403060,266160,395120,434500,392100,285220,268980,369780,367940,424440,371540,393480,343640,323780,411220,377400,290240,304820,284880,315180,269280,362800,371820,271420,335360,355740,435780,396240,299040,371860,306780,354980,428420,403960,495100,424300,477040,390240,468620,499820,467000,676880,638160,572480,336580,332740,362040,413980,402420,506300,366000,414520,412740,383980,408580,389300,411200,336360,343580,440560,338980,15220,0.635059686
15,LA,Standalone,24,7,7,21,21,14,24,14,257052.16691,201033.5385,268892.8571,484,74,171460,216720,139020,217740,146800,281140,190380,154520,207180,189300,209220,183900,226440,189920,150540,235820,154060,167700,202000,203600,192580,149300,248680,158880,207480,206160,181000,140340,155520,156420,172780,183480,168660,233240,216840,210580,165940,180120,172180,182960,221740,235060,219340,238700,225520,183140,278380,182820,189900,359720,278560,266080,152660,244260,194380,200140,239460,297140,196080,175980,203080,175420,213300,207780,167940,206920,235420,231600,241960,193900,228120,248820,228560,213100,176300,233920,190440,261260,232320,253960,174420,189240,267420,272600,265920,235520,197880,172820,242200,230140,235200,187160,283460,306140,324840,275220,283880,313360,387120,336580,367420,467340,377000,341900,263140,315520,281380,248240,253920,409600,226820,312640,241380,238540,286380,359740,283380,341140,336980,268920,278900,-36520,0.477094853
16,WA,Standalone,24,7,7,21,19,14,24,12,301700.64777,255720,290491.7857,33,4,238960,224600,151780,273620,253080,298520,242540,237660,188160,267700,229620,258840,209080,270300,189160,223500,229380,252860,208780,263420,272860,239520,218340,241120,194820,279280,244140,268420,222580,270360,245200,273240,224440,303720,259280,277640,289780,295880,235540,211900,235700,295920,219780,283740,267820,257740,289040,292940,225920,417100,492880,303000,276500,269940,211940,234760,198480,342020,237340,199180,243120,260900,248200,268020,270200,217880,222980,274280,259660,273040,206600,262020,285480,274120,303380,248320,249940,221820,188840,289340,215360,274680,217440,233080,273220,254600,290260,209660,209380,286820,275540,310820,363180,310600,315480,310100,317560,356440,450040,325060,310900,374520,482600,325540,247600,272320,286560,334640,331600,384800,306880,247040,320560,251960,332500,282600,346840,244900,306280,343580,356300,61220,0.665662306
17,ND,Standalone,24,7,7,21,21,14,24,14,335940.31391,270810.1538,338350.7143,38,4,173320,200280,226700,231200,262100,340620,265980,242540,215700,207660,205100,279460,284820,273960,262880,300980,230500,290460,227400,200760,285680,210380,291060,235380,188780,327020,226920,227240,213280,264760,309720,207100,315000,272960,230960,292340,259160,299620,309460,245700,265120,222300,267480,327800,313460,358120,401840,255980,375200,378440,473320,280620,230840,278240,277980,236620,310680,297220,236640,299640,234160,311140,296060,263840,274980,286580,322040,238440,314060,356940,275740,261260,297440,298360,248080,198760,229380,353980,308860,214440,286040,336480,239660,263800,244980,358940,344880,268420,284820,344940,250520,349180,344980,340920,384680,362600,397220,323700,547920,361820,450540,528320,597700,381840,354740,392020,299920,318040,391200,347720,406520,404260,399360,295040,313720,406860,348100,320280,331320,411620,407660,-10860,0.674505202
18,KS,Strip Mall,24,7,7,21,19,14,28,12,253339.64741,212631.3846,254293.9286,376,28,169920,170280,189560,149480,139620,284920,220660,172020,223200,162680,173320,215000,168800,202080,196840,214280,206580,209520,185840,223740,229860,199440,249800,177400,174360,181080,176540,234520,202340,149720,160360,247880,188320,179160,245620,197220,245320,180280,241020,252660,196640,218880,168360,265600,179980,264280,277380,255900,267660,368500,334980,324380,191940,210940,145300,226220,173040,310060,239900,172580,176920,182800,184760,228380,264420,165220,166880,161980,170800,276400,174940,184900,197060,187540,220600,235380,173280,229140,174440,250720,204780,218340,230540,191680,207080,253660,258840,165600,264980,179440,228520,183240,280080,233900,271240,224880,277760,262160,402260,259080,297400,440200,485460,270380,273480,308840,295440,288740,299780,290740,284000,316960,265180,252040,337920,347180,283900,329180,268420,230840,307040,33280,0.504755077
19,VA,Strip Mall,24,7,7,21,21,14,24,14,316136.97433,252988.6154,317610,46,2,161580,231880,183860,292540,215160,343520,244280,183580,207140,181120,212060,228440,225640,245260,203060,294700,264380,250480,261060,215040,260960,200100,309940,212520,222360,246760,186760,185020,231120,270460,264420,222180,203500,204660,245200,223420,275540,242120,308300,299460,220860,272460,246260,273180,275120,252760,321980,222420,352580,403820,486420,308160,210700,237400,253600,266020,227340,351360,201520,324960,214760,299940,271200,226800,263060,243160,270480,328940,286860,341740,318000,311820,302900,307000,244820,219920,256680,311840,252800,300460,250360,209120,284600,282380,294460,303780,304060,300560,295620,322700,342100,338600,318360,332040,300860,336820,301440,435760,512160,335060,328340,471020,452680,399880,258700,319260,295180,295960,309860,381020,291000,279340,288980,308160,315580,438700,275460,369080,350640,330020,329040,19620,0.605639887
20,MN,Standalone,24,7,7,21,21,14,24,14,257561.47398,206033.8462,265371.4286,17,65,204160,197880,149220,222600,160300,233580,160480,145340,149500,194300,197580,191380,185400,223800,160420,198000,166980,261720,190300,147620,184520,145800,161340,189920,183040,227880,146120,149380,144260,183360,246620,170440,160140,251480,180660,215020,176420,220420,220320,226120,193820,164520,184480,168360,212680,254960,316920,263400,213400,341200,390680,295620,201840,172900,195900,251080,198240,205040,210740,261920,241940,178460,255240,256400,238640,167940,190620,209900,216720,228760,158220,206680,185320,169640,182380,229280,238360,266440,170400,235040,194100,262400,263560,269300,222380,193360,217780,171080,209520,277980,285220,229520,305000,232040,290480,244200,303160,364860,358300,296100,338580,355520,387900,368160,248900,322520,262760,339460,301020,368840,323440,333260,284920,340560,280740,316100,271680,334600,233480,290400,311920,38400,0.555018313
21,AZ,Strip Mall,24,7,7,21,21,14,24,14,201717.53595,154979.6923,195131.4286,416,96,93140,161740,98320,105700,113040,160380,135580,137320,173160,146980,150120,177640,151500,169240,133540,111360,166800,171620,151980,117360,127120,145540,180820,103100,160260,124020,146800,114760,128440,154800,180620,180840,108180,146420,173460,172940,120260,144920,160500,122980,131680,154860,179660,146240,152960,194860,199580,174680,226440,268320,258300,155840,145100,177800,134980,182560,178100,192960,152640,140560,192940,136900,149460,198480,124480,159960,155100,133440,147280,138100,146620,155500,165960,182060,206320,158140,159880,184840,145080,116020,118780,131220,148840,173680,174700,133200,173480,199240,145880,135660,141740,146840,266960,239340,198980,203220,192160,212020,251560,271560,279820,362140,310920,320600,187300,181800,238500,198220,207440,281900,255500,193200,242880,179880,186740,216800,193540,191020,265360,211940,208500,17740,0.430751148
22,AZ,Strip Mall,24,7,7,21,21,14,24,14,341657.94508,278098.7692,345165.7143,5,1,228820,184520,262320,317360,217360,276000,222480,226060,290900,277460,315160,220840,235280,286300,281500,266860,226680,354340,227940,262240,283480,270660,331940,291180,269840,226460,220380,231520,245040,300520,257480,249400,321120,237260,241920,299440,276180,308020,290880,311220,308020,242180,228620,319100,273120,250180,433040,301160,310360,333120,472220,305480,258460,216900,194680,298260,279500,286460,325660,326520,328760,337680,229440,291340,281800,253640,329800,248460,278440,372700,247760,229800,320500,224380,309620,267920,322080,355660,312060,262600,314280,331320,317560,351340,291780,283820,327300,266180,261280,312240,357920,325840,345060,385700,342120,292740,366100,381700,446660,304420,412780,601540,622520,488100,370960,298320,393220,361060,287600,420960,412360,361160,371420,412100,342280,396240,432800,320180,418100,338180,326620,51020,0.704425167
23,VA,Standalone,24,7,7,21,21,14,24,14,222475.91745,173286.7692,232431.4286,28,38,124100,131160,172660,156880,149660,167180,144440,172080,157740,141600,142680,140880,171080,186160,133860,153500,150480,232260,142340,163620,117500,118580,184640,165720,187780,151380,135160,186240,139340,146020,205020,139480,193720,142760,177500,129880,167340,210980,221620,154100,186100,147660,164740,136780,166980,164660,294540,157860,210240,333680,346060,209300,199840,167740,147180,170920,149160,252660,146260,148300,203280,197540,185320,201500,166220,198220,227700,156740,177840,211240,182020,213180,163120,214620,163580,150100,144140,198000,168500,158880,191900,150940,212260,211360,165400,215380,205820,193380,171460,227140,225620,187040,242120,204420,246820,213780,217060,321200,353620,260460,258880,415480,364440,366500,264340,273740,247860,283900,281840,350260,211620,237080,292480,256020,271900,224500,254920,266060,234540,244100,270640,15080,0.468606395
24,IL,Standalone,24,7,7,21,19,14,24,12,230352.70631,193139.6923,236820,17,51,111320,131860,152640,199100,139620,229740,176120,165240,212680,161900,201540,190280,135620,183680,211100,222840,165120,236280,183260,166460,196120,167640,204000,179220,144820,210120,138060,207900,185300,155040,166940,145180,206760,199000,160620,183940,232920,155420,160360,199700,208160,191640,229920,207460,235500,278000,251900,211900,265280,286500,297940,265560,139120,154920,157200,177580,224460,306160,154800,154780,161440,213720,177540,213740,213400,155300,225180,208880,204960,255860,140140,159140,208040,195480,236620,207760,221200,235500,177820,153220,199060,171220,234940,201840,152620,169700,244220,177700,209300,224420,232580,231800,250500,301520,259860,269560,220740,314160,323920,283240,305780,319020,326500,336660,213160,219320,213820,264740,242160,268200,216260,276200,295880,254780,300560,271600,240600,255400,243160,272660,267460,48060,0.46302342
25,WI,Standalone,24,7,7,21,19,14,28,12,82761.320436,38565.84615,69812.85714,18,38,33700,20140,33340,19020,34740,50880,16920,33440,32480,29380,31140,35960,16480,29040,22740,22240,38440,46700,17380,34980,17680,34880,48820,21060,32960,57980,28880,44760,38140,48420,21560,28640,26120,30520,56140,53660,23860,39620,42380,28340,35220,34020,46740,26340,56900,69100,86920,29520,44400,78380,108160,66780,44700,23620,35640,58800,22160,69040,31440,54140,32340,30700,27460,31740,38960,33900,35280,46660,41820,60260,49900,41320,24360,48160,57020,43020,40540,35480,50000,26100,52140,49080,27040,51760,37140,45040,37020,38200,32180,35520,31880,47980,93060,91180,104840,95700,114840,92780,142360,78440,104140,137880,154560,101260,69160,72080,71240,78140,103780,102780,85640,101140,102740,99920,80320,84500,79720,85020,77480,85960,100060,12560,0.128607751
26,TX,Strip Mall,24,7,7,21,21,14,24,14,175116.15689,129946.1538,175774.6429,5,14,124660,135300,117440,113180,131140,115700,144960,111560,97080,125120,128660,117280,136980,140280,93720,95920,103020,140460,139240,116760,101180,125240,97280,97460,98260,109520,123440,147580,142800,117380,119580,105160,139220,154380,115200,118220,114920,156920,164220,122880,104660,113440,132140,101640,119180,121600,175420,168200,125100,225660,225580,211740,143640,120940,141980,107080,143880,186020,130520,153300,112140,99240,170580,112560,100960,154860,115520,99000,164380,181800,132580,117920,164100,161040,142940,134080,111900,161300,133400,145460,98780,118380,107920,161760,106980,126540,120040,113180,128420,130640,113840,185020,232880,194280,184240,224640,227260,204940,255260,173140,228700,246480,352240,269040,150960,152680,186400,207660,160160,217580,206160,229800,200260,219860,225140,231280,214400,196760,196660,186720,236020,3300,0.367073347
27,CT,Standalone,24,7,7,21,21,14,24,14,185081.7354,137213.8462,186271.0714,184,7,120000,90320,95500,110660,123980,182840,152480,99520,132320,108740,143840,159940,145300,152220,118060,128100,140120,133200,88620,127720,128980,90400,120120,140600,130740,111060,140440,126740,150960,107760,96440,135940,165280,129820,127200,110120,119540,135980,162040,159000,134120,155560,103760,126980,128100,201740,179740,131240,126820,265660,261340,212140,144300,101580,127840,114640,152080,155840,106700,110680,159340,106600,167340,168220,133900,110040,154100,142020,173260,130020,121000,154140,167480,157660,120720,99480,106240,156260,110040,150440,130720,129060,145940,135900,176600,195580,196020,136460,185820,118600,125240,178020,204220,203060,232260,229900,250660,240280,234360,195460,206740,341840,286220,302040,220920,178160,152720,210640,185800,233820,212280,243780,238480,186340,196500,251660,218900,228420,180780,244280,213800,6920,0.393176336
28,OK,Standalone,24,7,7,21,21,14,24,14,190184.2101,142275.3846,187349.6429,93,18,106700,137820,84700,100620,118220,191820,97060,95980,138100,126000,116040,115620,159820,114320,150360,134480,156300,130160,123100,168080,151680,123840,151620,108520,101760,145760,107940,145840,124960,126080,168140,147900,103360,169320,149640,143300,156760,143080,148340,114260,109400,115540,120360,162280,120280,142840,214720,150800,176760,251200,218600,241060,162560,132320,133220,128060,144240,185340,170300,136920,125280,184800,188420,124060,111140,132380,183220,111120,153440,146260,119780,151020,120000,149720,191180,153680,143420,139200,115600,115100,111620,180900,133140,124420,157800,151640,197920,117880,144960,197820,147680,170520,204040,172220,212320,248460,212000,255720,273800,196660,223820,246860,314560,251180,167620,234780,195420,228460,203780,236500,202700,237880,209380,240780,241600,258300,196680,173160,182160,250160,259160,-45500,0.310897445
