storeid,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post
11,254260,301300,246200,323180,274360,289420,254660,305940,330720,294580,270540,269240,270640,273840,273940,243160,312940,336160,256360,299360,242980,315360,292580,260620,281660,278780,287980,224240,278000,298000,305160,342000,235720,265180,321020,287920,253860,279000,359220,305820,261500,362840,362980,350900,303860,303760,357220,311720,364660,426000,388820,393920,316200,262640,240680,316240,268940,398580,361900,347840,314400,353800,273940,316860,275680,278520,290920,272680,243880,314400,243240,340780,278660,235020,358640,247120,305620,300840,286060,349680,319360,345900,325640,327040,362240,355300,377700,253000,269180,328820,347460,296000,276660,309360,295840,375060,272740,421940,488840,289600,340100,478900,432660,372180,319980,343380,244280,299580,355060,421780,358360,341740,371720,334180,368460,299020,298020,290400,290640,318740,328820,287144,275970
12,279380,299320,217820,330960,221420,317880,301620,240120,302880,316080,282840,235100,268960,246160,307080,260400,314520,312440,246620,270780,278800,276580,254140,285080,301940,329960,253880,271540,247900,270080,314080,281900,304620,328740,261220,266040,299260,334140,353340,259220,344980,293500,307820,276980,366640,345800,464860,277780,342320,388760,488240,304600,326160,321640,230760,285680,264400,383300,309500,307260,296380,313360,364100,272940,353740,256860,263220,281740,270680,312220,251360,342580,318600,264980,319840,334640,261060,334580,263460,260000,336760,299780,292700,340200,275760,368240,302260,343640,294740,300380,328860,288540,260600,350760,349700,376820,299620,381540,352780,375080,339320,458340,557740,341400,267280,260660,247000,347400,276060,372500,318380,266680,353560,288640,268600,360980,327380,382880,265100,353000,322480,281172,282040
13,268820,282120,246220,302760,342920,415380,267380,341980,250820,333020,312000,360900,292400,337740,360140,344980,314220,280940,264080,355440,276500,333060,324500,251600,262620,395740,269420,312640,340040,298280,293600,354720,281300,294160,287740,360980,354440,274920,276180,301800,279060,331460,317760,353680,345680,446560,504960,330560,446500,429500,446380,379720,304740,263940,344600,371980,274800,376440,272620,290940,359860,398180,346740,420440,362660,393120,382980,360680,274700,361220,330980,340240,338340,353060,396800,373580,331280,417860,345000,390060,366620,382560,298520,392520,410200,311260,376760,337100,355200,355740,374160,303060,292200,432800,321140,410480,344260,372060,461100,314200,343820,491080,444500,405280,289080,387920,387620,375480,375360,511500,291900,382940,436000,421240,412340,444160,299360,407660,379780,427240,435480,309828,339270
14,317120,370360,307320,389980,323420,398080,319180,386200,317080,347140,412920,437900,290380,305600,321680,382800,309640,329740,347000,307480,361620,336160,304040,274480,361900,408600,400340,324400,311460,351360,338380,288980,399640,338160,424480,335000,354820,410560,336340,390920,369980,405360,372120,379260,440400,445340,549920,336540,392440,497980,500900,433800,406900,375680,390660,322500,414300,496600,448200,324240,451080,314180,443140,482520,440120,333240,317000,417800,415960,472460,419560,441500,391660,371800,459240,425420,338260,352840,332900,363200,317300,410820,419840,319440,383380,403760,483800,444260,347060,419880,354800,403000,428420,403960,495100,424300,477040,390240,468620,499820,467000,676880,638160,572480,336580,332740,362040,413980,402420,506300,366000,414520,412740,383980,408580,389300,411200,336360,343580,440560,338980,361084,329930
15,219480,264740,187040,265760,194820,329160,238400,202540,255200,237320,257240,231920,274460,237940,198560,283840,202080,215720,250020,251620,240600,197320,296700,206900,255500,254180,229020,188360,203540,204440,220800,231500,216680,281260,264860,258600,213960,228140,220200,230980,269760,283080,267360,286720,273540,231160,326400,230840,237920,407740,326580,314100,200680,292280,242400,248160,287480,345160,244100,224000,251100,223440,261320,255800,215960,254940,283440,279620,289980,241920,276140,296840,276580,261120,224320,281940,238460,309280,280340,301980,222440,237260,315440,320620,313940,283540,245900,220840,290220,278160,283220,235180,283460,306140,324840,275220,283880,313360,387120,336580,367420,467340,377000,341900,263140,315520,281380,248240,253920,409600,226820,312640,241380,238540,286380,359740,283380,341140,336980,268920,278900,251228,230605
16,286980,272620,199800,321640,301100,346540,290560,285680,236180,315720,277640,306860,257100,311460,230320,264660,270540,294020,249940,304580,314020,280680,259500,282280,235980,320440,285300,309580,263740,311520,286360,314400,265600,344880,300440,318800,330940,337040,276700,253060,276860,337080,260940,324900,308980,298900,330200,334100,267080,458260,534040,344160,317660,311100,253100,275920,239640,383180,278500,240340,284280,302060,289360,309180,311360,259040,264140,315440,300820,314200,247760,303180,326640,315280,344540,289480,291100,262980,230000,330500,256520,315840,258600,274240,314380,295760,331420,250820,250540,327980,316700,351980,363180,310600,315480,310100,317560,356440,450040,325060,310900,374520,482600,325540,247600,272320,286560,334640,331600,384800,306880,247040,320560,251960,332500,282600,346840,244900,306280,343580,356300,278700,269245
17,221340,248300,274720,279220,310120,388640,314000,290560,263720,255680,253120,327480,332840,321980,310900,349000,278520,338480,275420,248780,333700,258400,339080,283400,236800,375040,274940,275260,261300,312780,357740,255120,363020,320980,278980,340360,307180,347640,357480,293720,313140,270320,315500,375820,361480,406140,449860,304000,423220,426460,521340,328640,278860,326260,326000,284640,358700,345240,284660,347660,282180,359160,344080,311860,323000,334600,370060,286460,362080,404960,323760,309280,345460,346380,296100,246780,277400,402000,356880,262460,334060,384500,287680,311820,293000,406960,392900,316440,332840,392960,298540,397200,344980,340920,384680,362600,397220,323700,547920,361820,450540,528320,597700,381840,354740,392020,299920,318040,391200,347720,406520,404260,399360,295040,313720,406860,348100,320280,331320,411620,407660,286568,315100
18,217940,218300,237580,197500,187640,332940,268680,220040,271220,210700,221340,263020,216820,246600,241360,258800,251100,254040,230360,268260,274380,243960,294320,221920,218880,225600,221060,279040,246860,194240,204880,292400,232840,223680,290140,241740,289840,224800,285540,297180,241160,263400,212880,310120,224500,308800,321900,300420,312180,413020,379500,368900,236460,255460,189820,270740,217560,354580,284420,217100,221440,227320,229280,272900,308940,209740,211400,206500,215320,320920,219460,229420,241580,232060,265120,279900,217800,273660,218960,295240,249300,262860,275060,236200,251600,298180,303360,210120,309500,223960,273040,227760,280080,233900,271240,224880,277760,262160,402260,259080,297400,440200,485460,270380,273480,308840,295440,288740,299780,290740,284000,316960,265180,252040,337920,347180,283900,329180,268420,230840,307040,236620,249465
19,209600,279900,231880,340560,263180,391540,292300,231600,255160,229140,260080,276460,273660,293280,251080,342720,312400,298500,309080,263060,308980,248120,357960,260540,270380,294780,234780,233040,279140,318480,312440,270200,251520,252680,293220,271440,323560,290140,356320,347480,268880,320480,294280,321200,323140,300780,370000,270440,400600,451840,534440,356180,258720,285420,301620,314040,275360,399380,249540,372980,262780,347960,319220,274820,311080,291180,318500,376960,334880,389760,366020,359840,350920,355020,292840,267940,304700,359860,300820,348480,298380,257140,332620,330400,342480,351800,352080,348580,343640,370720,390120,386620,318360,332040,300860,336820,301440,435760,512160,335060,328340,471020,452680,399880,258700,319260,295180,295960,309860,381020,291000,279340,288980,308160,315580,438700,275460,369080,350640,330020,329040,258900,299870
20,252180,245900,197240,270620,208320,281600,208500,193360,197520,242320,245600,239400,233420,271820,208440,246020,215000,309740,238320,195640,232540,193820,209360,237940,231060,275900,194140,197400,192280,231380,294640,218460,208160,299500,228680,263040,224440,268440,268340,274140,241840,212540,232500,216380,260700,302980,364940,311420,261420,389220,438700,343640,249860,220920,243920,299100,246260,253060,258760,309940,289960,226480,303260,304420,286660,215960,238640,257920,264740,276780,206240,254700,233340,217660,230400,277300,286380,314460,218420,283060,242120,310420,311580,317320,270400,241380,265800,219100,257540,326000,333240,277540,305000,232040,290480,244200,303160,364860,358300,296100,338580,355520,387900,368160,248900,322520,262760,339460,301020,368840,323440,333260,284920,340560,280740,316100,271680,334600,233480,290400,311920,231652,235320
21,141160,209760,146340,153720,161060,208400,183600,185340,221180,195000,198140,225660,199520,217260,181560,159380,214820,219640,200000,165380,175140,193560,228840,151120,208280,172040,194820,162780,176460,202820,228640,228860,156200,194440,221480,220960,168280,192940,208520,171000,179700,202880,227680,194260,200980,242880,247600,222700,274460,316340,306320,203860,193120,225820,183000,230580,226120,240980,200660,188580,240960,184920,197480,246500,172500,207980,203120,181460,195300,186120,194640,203520,213980,230080,254340,206160,207900,232860,193100,164040,166800,179240,196860,221700,222720,181220,221500,247260,193900,183680,189760,194860,266960,239340,198980,203220,192160,212020,251560,271560,279820,362140,310920,320600,187300,181800,238500,198220,207440,281900,255500,193200,242880,179880,186740,216800,193540,191020,265360,211940,208500,207900,193255
22,276840,232540,310340,365380,265380,324020,270500,274080,338920,325480,363180,268860,283300,334320,329520,314880,274700,402360,275960,310260,331500,318680,379960,339200,317860,274480,268400,279540,293060,348540,305500,297420,369140,285280,289940,347460,324200,356040,338900,359240,356040,290200,276640,367120,321140,298200,481060,349180,358380,381140,520240,353500,306480,264920,242700,346280,327520,334480,373680,374540,376780,385700,277460,339360,329820,301660,377820,296480,326460,420720,295780,277820,368520,272400,357640,315940,370100,403680,360080,310620,362300,379340,365580,399360,339800,331840,375320,314200,309300,360260,405940,373860,345060,385700,342120,292740,366100,381700,446660,304420,412780,601540,622520,488100,370960,298320,393220,361060,287600,420960,412360,361160,371420,412100,342280,396240,432800,320180,418100,338180,326620,315948,313355
23,172120,179180,220680,204900,197680,215200,192460,220100,205760,189620,190700,188900,219100,234180,181880,201520,198500,280280,190360,211640,165520,166600,232660,213740,235800,199400,183180,234260,187360,194040,253040,187500,241740,190780,225520,177900,215360,259000,269640,202120,234120,195680,212760,184800,215000,212680,342560,205880,258260,381700,394080,257320,247860,215760,195200,218940,197180,300680,194280,196320,251300,245560,233340,249520,214240,246240,275720,204760,225860,259260,230040,261200,211140,262640,211600,198120,192160,246020,216520,206900,239920,198960,260280,259380,213420,263400,253840,241400,219480,275160,273640,235060,242120,204420,246820,213780,217060,321200,353620,260460,258880,415480,364440,366500,264340,273740,247860,283900,281840,350260,211620,237080,292480,256020,271900,224500,254920,266060,234540,244100,270640,198816,204020
24,159340,179880,200660,247120,187640,277760,224140,213260,260700,209920,249560,238300,183640,224840,252260,264000,206280,277440,224420,207620,237280,208800,245160,220380,185980,251280,179220,249060,226460,196200,208100,186340,247920,240160,201780,225100,274080,196580,201520,240860,249320,232800,271080,248620,276660,319160,293060,253060,306440,327660,339100,306720,180280,196080,198360,218740,265620,347320,195960,195940,202600,254880,218700,254900,254560,196460,266340,250040,246120,297020,181300,200300,249200,236640,277780,248920,262360,276660,218980,194380,240220,212380,276100,243000,193780,210860,285380,218860,250460,265580,273740,272960,250500,301520,259860,269560,220740,314160,323920,283240,305780,319020,326500,336660,213160,219320,213820,264740,242160,268200,216260,276200,295880,254780,300560,271600,240600,255400,243160,272660,267460,228424,236845
25,81720,68160,81360,67040,82760,98900,64940,81460,80500,77400,79160,83980,64500,73560,67260,66760,82960,91220,61900,79500,62200,79400,93340,65580,77480,102500,73400,89280,82660,92940,66080,73160,70640,75040,100660,98180,68380,84140,86900,72860,79740,78540,91260,70860,101420,113620,131440,74040,88920,122900,152680,111300,89220,68140,80160,103320,66680,113560,75960,98660,76860,75220,71980,76260,83480,78420,79800,91180,86340,104780,94420,85840,68880,92680,101540,87540,85060,80000,94520,70620,96660,93600,71560,96280,81660,89560,81540,82720,76700,80040,76400,92500,93060,91180,104840,95700,114840,92780,142360,78440,104140,137880,154560,101260,69160,72080,71240,78140,103780,102780,85640,101140,102740,99920,80320,84500,79720,85020,77480,85960,100060,77108,72635
26,172680,183320,165460,161200,179160,163720,192980,159580,145100,173140,176680,165300,185000,188300,141740,143940,151040,188480,187260,164780,149200,173260,145300,145480,146280,157540,171460,195600,190820,165400,167600,153180,187240,202400,163220,166240,162940,204940,212240,170900,152680,161460,180160,149660,167200,169620,223440,216220,173120,273680,273600,259760,191660,168960,190000,155100,191900,234040,178540,201320,160160,147260,218600,160580,148980,202880,163540,147020,212400,229820,180600,165940,212120,209060,190960,182100,159920,209320,181420,193480,146800,166400,155940,209780,155000,174560,168060,161200,176440,178660,161860,233040,232880,194280,184240,224640,227260,204940,255260,173140,228700,246480,352240,269040,150960,152680,186400,207660,160160,217580,206160,229800,200260,219860,225140,231280,214400,196760,196660,186720,236020,169044,156255
27,168020,138340,143520,158680,172000,230860,200500,147540,180340,156760,191860,207960,193320,200240,166080,176120,188140,181220,136640,175740,177000,138420,168140,188620,178760,159080,188460,174760,198980,155780,144460,183960,213300,177840,175220,158140,167560,184000,210060,207020,182140,203580,151780,175000,176120,249760,227760,179260,174840,313680,309360,260160,192320,149600,175860,162660,200100,203860,154720,158700,207360,154620,215360,216240,181920,158060,202120,190040,221280,178040,169020,202160,215500,205680,168740,147500,154260,204280,158060,198460,178740,177080,193960,183920,224620,243600,244040,184480,233840,166620,173260,226040,204220,203060,232260,229900,250660,240280,234360,195460,206740,341840,286220,302040,220920,178160,152720,210640,185800,233820,212280,243780,238480,186340,196500,251660,218900,228420,180780,244280,213800,186048,182645
28,154720,185840,132720,148640,166240,239840,145080,144000,186120,174020,164060,163640,207840,162340,198380,182500,204320,178180,171120,216100,199700,171860,199640,156540,149780,193780,155960,193860,172980,174100,216160,195920,151380,217340,197660,191320,204780,191100,196360,162280,157420,163560,168380,210300,168300,190860,262740,198820,224780,299220,266620,289080,210580,180340,181240,176080,192260,233360,218320,184940,173300,232820,236440,172080,159160,180400,231240,159140,201460,194280,167800,199040,168020,197740,239200,201700,191440,187220,163620,163120,159640,228920,181160,172440,205820,199660,245940,165900,192980,245840,195700,218540,204040,172220,212320,248460,212000,255720,273800,196660,223820,246860,314560,251180,167620,234780,195420,228460,203780,236500,202700,237880,209380,240780,241600,258300,196680,173160,182160,250160,259160,179136,186885
29,85220,94440,76200,112900,109120,96080,116440,113380,102000,104520,97820,99860,83420,98480,90980,105080,83980,111300,113600,103700,91820,87340,94400,102800,77260,100740,82220,86800,100480,105300,88400,114660,91240,108140,118780,103460,100300,86060,108960,92120,124460,109180,90360,92980,97040,140400,114860,104020,143160,152760,158860,116460,103080,111740,82000,89880,89880,155260,110260,95600,98360,95920,121560,126160,106240,126180,114960,94340,95040,143260,112680,89380,125040,116720,116580,108360,114920,128000,115420,98740,114080,114680,91420,107440,116760,118540,114760,121960,106260,106220,139280,106500,139560,96600,127180,111640,128900,132520,159520,110400,106980,155000,183680,118440,113340,123200,121240,130280,99620,130480,117200,120640,116920,136100,129360,126160,125160,120200,94520,135600,102200,97524,94630
30,224260,223020,168980,265760,211460,266080,185820,189060,210620,251340,253580,249740,177260,229000,227040,249620,254120,292560,230100,257080,225920,192800,217420,233500,228980,202060,257340,216700,234600,197360,201760,229380,186480,216160,210880,183440,239780,244020,241680,191000,282080,243220,204120,285480,272400,298680,255320,241380,316940,353000,294600,309720,197020,258380,241600,224540,270880,286860,227060,199680,223060,215740,235620,236440,196320,215720,237180,287680,267920,282280,274580,263720,245040,263220,272340,209520,270940,289560,282120,247860,224540,251740,262680,272700,292660,234900,319440,255600,209660,225840,256580,246440,293320,240140,324760,295740,302020,341520,405260,299780,280540,342100,459780,394620,246460,282240,209440,329620,232440,261900,287640,296320,249200,272040,321540,314520,263380,289880,312500,324460,317940,228508,239945
31,332000,330120,283380,314500,242880,392920,271940,362320,327400,320580,256140,277640,323700,351240,269380,329440,283680,372060,305620,333540,303740,242880,363800,271840,248500,345980,332860,327020,321480,313600,274780,257660,348960,360740,287100,381120,318920,369480,299780,267580,364880,319340,322860,350700,303860,329920,399500,272040,315080,384280,476740,420420,319820,353940,307340,378020,276100,404200,351140,389860,309000,286760,382200,294860,302520,344700,364080,404620,359740,422640,301480,273680,338200,335580,343020,268120,345120,371320,337160,364700,365640,394200,402440,380380,282400,418000,336420,358900,346680,372440,300940,293200,308300,399000,398520,394940,450560,412020,540880,411240,467440,477020,621540,392100,351360,334080,371360,395580,417600,384920,292120,323680,347720,370420,429620,339100,328540,346700,436800,364440,346380,301092,308435
32,269740,279200,245720,251720,286860,334120,288180,269220,219840,250100,251500,247840,261920,204740,204860,218280,257380,229760,282120,257720,238040,268000,303460,278660,279160,289600,296760,260300,275280,240860,265540,279780,310960,252520,271820,305180,253240,235760,228660,267980,241680,283880,294880,263940,252300,295740,380980,282580,291720,450960,404640,368020,204620,230540,242640,317180,248840,349500,324660,286240,227880,233960,275300,316140,255700,279220,321020,317640,233600,306880,299120,281860,287900,270100,273240,218880,288900,296740,275620,278380,246860,253520,335500,325620,312900,312920,327840,301820,347100,345540,324540,343940,266420,263040,353820,287540,310180,366300,429900,350200,375120,472160,406680,306400,245220,316020,320780,251200,339760,390860,281220,302840,310480,257420,257140,334900,315360,253500,254020,289540,320800,246240,221315
33,150360,118440,115720,139240,131800,142800,118500,157720,132240,168420,175340,166820,170080,153200,117060,145420,120100,182460,113960,132300,134500,118240,175240,158180,123240,132560,145160,128440,127480,141980,148700,149080,120600,141000,178680,157420,139220,126680,138020,168760,141520,153080,144620,162280,136960,196460,206740,189900,156680,209380,245480,185300,163160,166080,150780,159760,170260,165960,159640,136340,165260,155420,139020,150180,172460,145740,153360,169440,180180,181480,157960,173880,128080,165700,185200,176600,168440,164580,125620,154020,185500,135260,150260,186500,164680,189920,169060,157680,158380,169700,197780,167700,148320,166860,182800,157180,145580,162320,261480,146040,170100,269420,292080,206060,164040,145520,137420,188280,162340,190960,144400,162860,170980,154140,181500,149180,163220,139740,160640,207680,186240,162580,133945
